,LDR1,LDR2,button
0,558,95,0
1,559,95,0
2,559,95,0
3,559,96,0
4,562,97,0
5,554,94,0
6,558,95,0
7,559,95,0
8,564,97,0
9,562,96,0
10,562,96,0
11,564,97,0
12,563,96,0
13,564,97,0
14,563,96,0
15,562,95,0
16,562,95,0
17,564,96,0
18,562,95,0
19,562,95,0
20,561,95,0
21,562,96,0
22,562,96,0
23,562,96,0
24,565,97,0
25,563,96,0
26,565,98,0
27,563,96,0
28,563,96,0
29,563,97,0
30,565,98,0
31,524,79,0
32,559,96,0
33,559,96,0
34,553,94,0
35,554,94,0
36,555,95,0
37,550,93,0
38,552,94,0
39,555,95,0
40,552,94,0
41,551,93,0
42,549,93,0
43,549,94,0
44,544,88,0
45,555,696,0
46,556,695,0
47,560,701,0
48,558,697,0
49,558,697,0
50,556,696,0
51,554,695,0
52,556,697,0
53,555,695,0
54,556,696,0
55,555,695,0
56,555,696,0
57,558,700,0
58,505,655,0
59,499,645,0
60,486,622,0
61,544,687,0
62,547,691,0
63,554,696,0
64,556,698,0
65,557,699,0
66,514,635,0
67,523,666,0
68,498,666,0
69,833,665,1
70,833,627,1
71,833,666,1
72,834,664,1
73,540,665,0
74,521,666,0
75,835,667,1
76,835,669,1
77,834,664,1
78,834,664,1
79,835,669,1
80,541,664,0
81,540,664,0
82,540,663,0
83,834,665,1
84,834,664,1
85,835,690,1
86,835,692,1
87,604,689,0
88,555,690,0
89,558,693,0
90,559,697,0
91,549,685,0
92,557,698,0
93,558,700,0
94,558,697,0
95,559,699,0
96,557,698,0
97,556,696,0
98,557,697,0
99,561,702,0
100,562,702,0
101,488,626,0
102,555,697,0
103,556,700,0
104,552,690,0
105,499,646,0
106,539,647,0
107,382,507,0
108,362,489,0
109,409,443,0
110,465,485,0
111,468,562,0
112,468,568,0
113,469,570,0
114,487,616,0
115,495,625,0
116,491,632,0
117,381,486,0
118,344,439,0
119,320,407,0
120,314,394,0
121,316,433,0
122,323,437,0
123,310,431,0
124,319,436,0
125,361,474,0
126,383,480,0
127,388,476,0
128,437,488,0
129,454,519,0
130,550,696,0
131,544,692,0
132,564,703,0
133,564,701,0
134,563,702,0
135,565,704,0
136,563,703,0
137,563,702,0
138,565,703,0
139,564,704,0
140,563,702,0
141,562,702,0
142,566,707,0
143,566,707,0
144,564,703,0
145,563,703,0
146,556,699,0
147,542,695,0
148,338,475,0
149,302,444,0
150,287,437,0
151,297,450,0
152,374,474,0
153,464,582,0
154,496,635,0
155,513,638,0
156,548,704,0
157,548,676,0
158,521,682,0
159,831,629,1
160,830,548,1
161,829,506,1
162,829,508,1
163,380,509,0
164,825,438,1
165,823,369,1
166,294,328,0
167,826,316,1
168,826,324,1
169,828,465,1
170,825,308,1
171,307,261,0
172,285,300,0
173,293,375,0
174,827,415,1
175,829,620,1
176,831,677,1
177,515,687,0
178,466,657,0
179,466,632,0
180,831,625,1
181,834,688,1
182,834,688,1
183,833,688,1
184,543,688,0
185,530,690,0
186,532,692,0
187,540,695,0
188,539,693,0
189,533,690,0
190,535,694,0
191,532,689,0
192,532,689,0
193,545,698,0
194,549,699,0
195,550,703,0
196,541,693,0
197,543,695,0
198,541,692,0
199,540,692,0
200,541,695,0
201,834,688,1
202,834,680,1
203,834,690,1
204,834,692,1
205,834,680,1
206,551,682,0
207,535,692,0
208,453,687,0
209,339,698,0
210,877,692,1
211,879,688,1
212,880,688,1
213,858,691,1
214,855,692,1
215,435,694,0
216,339,697,0
217,329,696,0
218,345,699,0
219,554,693,0
220,860,689,1
221,859,687,1
222,859,687,1
223,859,685,1
224,556,688,0
225,558,686,0
226,565,698,0
227,562,693,0
228,859,693,1
229,858,690,1
230,857,691,1
231,561,686,0
232,561,671,0
233,570,696,0
234,569,698,0
235,572,700,0
236,569,695,0
237,568,694,0
238,569,694,0
239,567,690,0
240,568,691,0
241,568,692,0
242,551,668,0
243,552,663,0
244,856,666,1
245,856,670,1
246,856,668,1
247,856,667,1
248,856,668,1
249,856,674,1
250,554,668,0
251,555,670,0
252,551,665,0
253,549,664,0
254,554,667,0
255,856,670,1
256,857,670,1
257,856,668,1
258,856,670,1
259,855,673,1
260,852,655,1
261,400,656,0
262,417,656,0
263,454,656,0
264,424,656,0
265,304,648,0
266,349,639,0
267,372,639,0
268,521,644,0
269,691,670,1
270,693,677,1
271,691,668,1
272,690,665,1
273,544,583,0
274,552,658,0
275,537,689,0
276,420,671,0
277,417,677,0
278,419,683,0
279,553,678,0
280,813,671,1
281,813,668,1
282,813,666,1
283,814,674,1
284,813,670,1
285,813,675,1
286,813,669,1
287,812,667,1
288,555,668,0
289,559,676,0
290,465,664,0
291,440,666,0
292,416,671,0
293,464,671,0
294,563,683,0
295,548,654,0
296,814,654,1
297,814,654,1
298,814,657,1
299,814,656,1
300,814,655,1
301,814,655,1
302,814,659,1
303,814,663,1
304,814,658,1
305,813,658,1
306,814,658,1
307,814,659,1
308,814,662,1
309,814,659,1
310,814,661,1
311,814,664,1
312,814,659,1
313,814,659,1
314,814,664,1
315,814,664,1
316,569,700,0
317,573,698,0
318,574,699,0
319,571,698,0
320,571,698,0
321,573,699,0
322,573,698,0
323,573,699,0
324,574,699,0
325,577,703,0
326,570,700,0
327,561,681,0
328,815,677,1
329,815,681,1
330,816,688,1
331,816,689,1
332,816,693,1
333,816,694,1
334,815,691,1
335,815,689,1
336,566,697,0
337,567,698,0
338,571,703,0
339,567,698,0
340,567,699,0
341,568,698,0
342,569,701,0
343,567,698,0
344,567,697,0
345,567,698,0
346,570,702,0
347,567,698,0
348,567,698,0
349,566,696,0
350,816,694,1
351,816,699,1
352,815,695,1
353,815,697,1
354,816,699,1
355,571,701,0
356,567,699,0
357,564,686,0
358,573,700,0
359,575,703,0
360,578,703,0
361,583,708,0
362,582,704,0
363,587,708,0
364,585,708,0
365,582,703,0
366,583,704,0
367,584,705,0
368,584,704,0
369,584,704,0
370,583,704,0
371,582,704,0
372,582,707,0
373,577,703,0
374,500,637,0
375,562,692,0
376,564,692,0
377,575,703,0
378,578,705,0
379,576,700,0
380,576,703,0
381,579,703,0
382,577,701,0
383,580,705,0
384,575,705,0
385,579,703,0
386,616,734,0
387,604,725,0
388,821,719,1
389,817,709,1
390,818,717,1
391,819,727,1
392,599,733,0
393,603,742,0
394,611,751,0
395,821,754,1
396,822,761,1
397,823,766,1
398,624,774,0
399,628,781,0
400,635,785,0
401,826,791,1
402,826,797,1
403,649,804,0
404,654,811,0
405,655,812,0
406,828,811,1
407,827,803,1
408,823,785,1
409,826,796,1
410,826,796,1
411,656,804,0
412,653,803,0
413,663,811,0
414,671,816,0
415,683,829,0
416,691,837,0
417,690,836,0
418,695,841,0
419,697,845,0
420,837,846,1
421,836,846,1
422,836,844,1
423,836,849,1
424,837,850,1
425,699,851,0
426,704,860,0
427,704,867,0
428,715,816,0
429,723,810,0
430,843,867,1
431,845,884,1
437,819,831,0
459,780,898,0
460,776,889,0
461,774,887,0
462,876,885,1
463,876,875,1
464,879,822,1
465,874,748,1
466,865,750,1
467,866,755,1
468,863,756,1
469,864,769,1
470,870,773,1
471,876,776,1
472,878,776,1
473,877,776,1
474,859,780,1
475,639,779,0
476,625,744,0
477,623,751,0
478,622,756,0
479,859,752,1
480,858,749,1
481,627,749,0
482,587,730,0
483,606,740,0
484,609,729,0
485,614,759,0
486,611,763,0
487,800,758,1
488,801,758,1
489,800,751,1
